attribute,model,group_set,n_groups,groups,base_rate_gap,base_rate_gap_lo,base_rate_gap_hi,selection_rate_gap,selection_rate_gap_lo,selection_rate_gap_hi,selection_rate_max_group,selection_rate_min_group,selection_rate_amplification,selection_rate_amplification_lo,selection_rate_amplification_hi,tpr_gap,tpr_gap_lo,tpr_gap_hi,tpr_max_group,tpr_min_group,tpr_amplification,tpr_amplification_lo,tpr_amplification_hi,fpr_gap,fpr_gap_lo,fpr_gap_hi,fpr_max_group,fpr_min_group,fpr_amplification,fpr_amplification_lo,fpr_amplification_hi
Victim Race,graphsage_fairloss_a100_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.11299476643349893,0.15440563362416154,0.2325683289639489,0.2045544978104798,0.259777384694119,Native American/Alaska Native,Asian/Pacific Islander,1.7283257728970551,1.4475896143251015,2.0934427784985434,0.22421656881930851,0.19210924218164424,0.25529796773440183,Native American/Alaska Native,Asian/Pacific Islander,1.6662598743659014,1.3369165360178272,2.083790101147861,0.13872296277665996,0.07720561373199887,0.197422302063188,Native American/Alaska Native,Asian/Pacific Islander,1.0309162598691841,0.5630268504695366,1.549986692388378
Victim Race,graphsage_fairloss_a100_mb,named_n>=5000,2,Black | White,0.07632540249654818,0.07212581828982992,0.08049138099653856,0.025735415110785143,0.021104505621867883,0.030362040568514572,White,Black,0.33718020827926887,0.2794063196555997,0.39686258591641405,0.006839257328912329,0.001364202155825628,0.011746675521646741,Black,White,0.08960656747564004,0.01695969191699587,0.1566144168705496,0.019934173265237887,0.012024393391268418,0.02807130380334801,White,Black,0.26117350990896393,0.15689671756581638,0.3669227630453687
Victim Race,graphsage_fairloss_a5_sstate20_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.11278542799532269,0.15514221322325678,0.25447549898760846,0.23277769775961699,0.27585993106616946,Native American/Alaska Native,Black,1.8911283639970573,1.650528739881757,2.22029428456564,0.21851054577081974,0.19101755777356932,0.24754468993634957,Native American/Alaska Native,Asian/Pacific Islander,1.6238557054948404,1.3549096345502958,1.983139126553605,0.24934329762897595,0.19034900960631387,0.30721335021853413,Native American/Alaska Native,Black,1.852988536792998,1.3916464742616173,2.3980891580345896
Victim Race,graphsage_fairloss_a5_sstate20_mb,named_n>=5000,2,Black | White,0.07632540249654818,0.07239749461054062,0.08053009701733235,0.10983454874563348,0.10540043471228792,0.11420538055689199,White,Black,1.4390300627710513,1.3613047482704705,1.5230693893622431,0.07323088109121134,0.06820795838294888,0.07826592177204214,White,Black,0.9594562058748818,0.8787801117663642,1.0432298549231387,0.11355679545711389,0.10602587331733683,0.12222382699416548,White,Black,1.4877981870092267,1.3631645460720312,1.6278002624928904
Victim Race,graphsage_fairloss_a10_sstate20_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.11155331798263046,0.15616908592579742,0.24998624006025405,0.2295396486328605,0.2762464031034699,Native American/Alaska Native,Asian/Pacific Islander,1.8577665475368397,1.6249439250087232,2.231270137385446,0.2434546640574038,0.21652067621443782,0.2701142167339996,Native American/Alaska Native,Asian/Pacific Islander,1.8092273023453247,1.50804066438267,2.2256794862743314,0.24166134750946966,0.1838569295221032,0.2970298420616496,Native American/Alaska Native,Black,1.7959003148635606,1.3444376079229068,2.3660237530653454
Victim Race,graphsage_fairloss_a10_sstate20_mb,named_n>=5000,2,Black | White,0.07632540249654818,0.07207638329861295,0.08079869518887463,0.08744803995500972,0.08309990328944153,0.09177741298716882,White,Black,1.14572654836592,1.0812991974905466,1.216628557737517,0.05218722249499563,0.04783513711426564,0.056926543276803805,White,Black,0.6837464433594805,0.6160300062880046,0.7647093416436413,0.08879886802814302,0.0810105482674074,0.09706229918996627,White,Black,1.1634248248105727,1.0449444657129952,1.2881709888840271
Victim Race,graphsage_fairloss_a25_sstate20_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.11348370777768545,0.15449736884267845,0.2645693621664421,0.23804091047348677,0.2911413266513135,Native American/Alaska Native,Asian/Pacific Islander,1.966140658051847,1.6856410828171062,2.339048280643634,0.2543144161774299,0.22621051880422666,0.2830672615839084,Native American/Alaska Native,Asian/Pacific Islander,1.8899312810853706,1.5682893143941201,2.3272552365785377,0.24624475267083812,0.18727759398695468,0.3004577173791863,Native American/Alaska Native,Black,1.8299617767286043,1.3557898672203816,2.3442686987782446
Victim Race,graphsage_fairloss_a25_sstate20_mb,named_n>=5000,2,Black | White,0.07632540249654818,0.07239153315793485,0.08062267904291161,0.07484953147443696,0.07030108605489012,0.07947266947909307,White,Black,0.9806634361059811,0.917625658182383,1.0473554349430623,0.03979735338590229,0.03474970674045031,0.04486133055574055,White,Black,0.521416881983716,0.4485182392260456,0.597245711975686,0.07624608499676605,0.06804635169658006,0.08370046675707714,White,Black,0.9989607981459945,0.8857179899278143,1.1127735984323512
Victim Race,graphsage_fairloss_a50_sstate20_mb,named_all,4,Black | White | Asian/Pacific Islander | Native American/Alaska Native,0.1345627847544697,0.11429592111055295,0.15585319805876563,0.2643071991039141,0.236565863037905,0.29261957870444133,Native American/Alaska Native,Asian/Pacific Islander,1.9641923997499222,1.6697795303149479,2.350058944222149,0.2510828440965428,0.22131997950058144,0.28019700108167667,Native American/Alaska Native,Asian/Pacific Islander,1.8659159332551098,1.5335784499093226,2.2570165020441033,0.22326925496079358,0.16342472643160424,0.2834506766392187,Native American/Alaska Native,Black,1.6592199349038619,1.1725078873865056,2.18500384550299
Victim Race,graphsage_fairloss_a50_sstate20_mb,named_n>=5000,2,Black | White,0.07632540249654818,0.07213305117929154,0.08097335265501865,0.06276956767663011,0.05825913353200182,0.06732154928841716,White,Black,0.8223941914943569,0.7638495603163056,0.8828744723219613,0.028376404222963947,0.023295630950953182,0.033389601739700174,White,Black,0.37178191394729,0.304334492107781,0.4378716339596,0.06340992922019972,0.05596056781142311,0.0719818554203822,White,Black,0.8307840790366935,0.7294035058860748,0.9476801650357309
